BABECAGErR/FUmdBwCyIDh56mhA5ufUxVECXjq0ypr9IMHgg4R0=
Biome	Chunk	Block Base HP	Block Reward	Mini Boss HP	Mini Boss Reward	Boss HP	Boss Reward
5	250	1.25E+28	1.25E+27	1.68E+30	5.01E+29	5.61137E+30	1.00E+30
5	260	1.88E+29	1.88E+28	2.53E+31	7.51E+30	8.41706E+31	1.50E+31
5	270	2.82E+30	2.82E+29	3.79E+32	1.13E+32	1.26256E+33	2.25E+32
5	280	4.22E+31	4.22E+30	5.68E+33	1.69E+33	1.89384E+34	3.38E+33
5	290	6.34E+32	6.34E+31	8.52E+34	2.53E+34	2.84076E+35	5.07E+34
5	300	9.50E+33	9.50E+32	1.28E+36	3.80E+35	4.26113E+36	7.60E+35
5	310	1.43E+35	1.43E+34	1.92E+37	5.70E+36	6.3917E+37	1.14E+37
5	320	2.14E+36	2.14E+35	2.88E+38	8.55E+37	9.58755E+38	1.71E+38
5	330	3.21E+37	3.21E+36	4.31E+39	1.28E+39	1.43813E+40	2.57E+39
5	340	4.81E+38	4.81E+37	6.47E+40	1.92E+40	2.1572E+41	3.85E+40
5	350	7.22E+39	7.22E+38	9.71E+41	2.89E+41	3.2358E+42	5.77E+41
5	360	1.08E+41	1.08E+40	1.46E+43	4.33E+42	4.8537E+43	8.66E+42
5	370	1.62E+42	1.62E+41	2.18E+44	6.50E+43	7.28055E+44	1.30E+44
5	380	2.44E+43	2.44E+42	3.28E+45	9.74E+44	1.09208E+46	1.95E+45
5	390	3.65E+44	3.65E+43	4.91E+46	1.46E+46	1.63812E+47	2.92E+46
5	400	5.48E+45	5.48E+44	7.37E+47	2.19E+47	2.45718E+48	4.38E+47
5	410	8.22E+46	8.22E+45	1.11E+49	3.29E+48	3.68578E+49	6.58E+48
5	420	1.23E+48	1.23E+47	1.66E+50	4.93E+49	5.52867E+50	9.86E+49
5	430	1.85E+49	1.85E+48	2.49E+51	7.40E+50	8.293E+51	1.48E+51
5	440	2.77E+50	2.77E+49	3.73E+52	1.11E+52	1.24395E+53	2.22E+52
5	450	4.16E+51	4.16E+50	5.60E+53	1.66E+53	1.86592E+54	3.33E+53
5	460	6.24E+52	6.24E+51	8.40E+54	2.50E+54	2.79889E+55	4.99E+54
5	470	9.36E+53	9.36E+52	1.26E+56	3.75E+55	4.19833E+56	7.49E+55
5	480	1.40E+55	1.40E+54	1.89E+57	5.62E+56	6.2975E+57	1.12E+57
5	490	2.11E+56	2.11E+55	2.83E+58	8.43E+57	9.44624E+58	1.69E+58
5	500	3.16E+57	3.16E+56	4.25E+59	1.26E+59	1.41694E+60	2.53E+59
5	510	4.74E+58	4.74E+57	6.38E+60	1.90E+60	2.12541E+61	3.79E+60
5	520	7.11E+59	7.11E+58	9.56E+61	2.84E+61	3.18811E+62	5.69E+61
5	530	1.07E+61	1.07E+60	1.43E+63	4.27E+62	4.78216E+63	8.53E+62
5	540	1.60E+62	1.60E+61	2.15E+64	6.40E+63	7.17324E+64	1.28E+64
5	550	2.40E+63	2.40E+62	3.23E+65	9.60E+64	1.07599E+66	1.92E+65
5	560	3.60E+64	3.60E+63	4.84E+66	1.44E+66	1.61398E+67	2.88E+66
5	570	5.40E+65	5.40E+64	7.26E+67	2.16E+67	2.42097E+68	4.32E+67
5	580	8.10E+66	8.10E+65	1.09E+69	3.24E+68	3.63145E+69	6.48E+68
5	590	1.21E+68	1.21E+67	1.63E+70	4.86E+69	5.44718E+70	9.72E+69
5	600	1.82E+69	1.82E+68	2.45E+71	7.29E+70	8.17077E+71	1.46E+71
5	610	2.73E+70	2.73E+69	3.68E+72	1.09E+72	1.22562E+73	2.19E+72
5	620	4.10E+71	4.10E+70	5.52E+73	1.64E+73	1.83842E+74	3.28E+73
5	630	6.15E+72	6.15E+71	8.27E+74	2.46E+74	2.75764E+75	4.92E+74
5	640	9.23E+73	9.23E+72	1.24E+76	3.69E+75	4.13645E+76	7.38E+75
5	650	1.38E+75	1.38E+74	1.86E+77	5.54E+76	6.20468E+77	1.11E+77
5	660	2.08E+76	2.08E+75	2.79E+78	8.30E+77	9.30702E+78	1.66E+78
5	670	3.11E+77	3.11E+76	4.19E+79	1.25E+79	1.39605E+80	2.49E+79
5	680	4.67E+78	4.67E+77	6.28E+80	1.87E+80	2.09408E+81	3.74E+80
5	690	7.01E+79	7.01E+78	9.42E+81	2.80E+81	3.14112E+82	5.60E+81
5	700	1.05E+81	1.05E+80	1.41E+83	4.20E+82	4.71168E+83	8.41E+82
5	710	1.58E+82	1.58E+81	2.12E+84	6.31E+83	7.06752E+84	1.26E+84
5	720	2.36E+83	2.36E+82	3.18E+85	9.46E+84	1.06013E+86	1.89E+85
5	730	3.55E+84	3.55E+83	4.77E+86	1.42E+86	1.59019E+87	2.84E+86
5	740	5.32E+85	5.32E+84	7.16E+87	2.13E+87	2.38529E+88	4.26E+87
5	750	7.98E+86	7.98E+85	1.07E+89	3.19E+88	3.57793E+89	6.38E+88
5	760	1.20E+88	1.20E+87	1.61E+90	4.79E+89	5.3669E+90	9.58E+89
5	770	1.80E+89	1.80E+88	2.42E+91	7.18E+90	8.05034E+91	1.44E+91
5	780	2.69E+90	2.69E+89	3.62E+92	1.08E+92	1.20755E+93	2.15E+92
5	790	4.04E+91	4.04E+90	5.43E+93	1.62E+93	1.81133E+94	3.23E+93
5	800	6.06E+92	6.06E+91	8.15E+94	2.42E+94	2.71699E+95	4.85E+94
5	810	9.09E+93	9.09E+92	1.22E+96	3.64E+95	4.07549E+96	7.27E+95
5	820	1.36E+95	1.36E+94	1.83E+97	5.45E+96	6.11323E+97	1.09E+97
5	830	2.05E+96	2.05E+95	2.75E+98	8.18E+97	9.16984E+98	1.64E+98
5	840	3.07E+97	3.07E+96	4.13E+99	1.23E+99	1.37548E+100	2.45E+99
5	850	4.60E+98	4.60E+97	6.19E+100	1.84E+100	2.06322E+101	3.68E+100
5	860	6.90E+99	6.90E+98	9.28E+101	2.76E+101	3.09482E+102	5.52E+101
5	870	1.04E+101	1.04E+100	1.39E+103	4.14E+102	4.64223E+103	8.28E+102
5	880	1.55E+102	1.55E+101	2.09E+104	6.21E+103	6.96335E+104	1.24E+104
5	890	2.33E+103	2.33E+102	3.13E+105	9.32E+104	1.0445E+106	1.86E+105
5	900	3.49E+104	3.49E+103	4.70E+106	1.40E+106	1.56675E+107	2.80E+106
5	910	5.24E+105	5.24E+104	7.05E+107	2.10E+107	2.35013E+108	4.19E+107
5	920	7.86E+106	7.86E+105	1.06E+109	3.14E+108	3.5252E+109	6.29E+108
5	930	1.18E+108	1.18E+107	1.59E+110	4.72E+109	5.28779E+110	9.43E+109
5	940	1.77E+109	1.77E+108	2.38E+111	7.08E+110	7.93169E+111	1.42E+111
5	950	2.65E+110	2.65E+109	3.57E+112	1.06E+112	1.18975E+113	2.12E+112
5	960	3.98E+111	3.98E+110	5.35E+113	1.59E+113	1.78463E+114	3.18E+113
5	970	5.97E+112	5.97E+111	8.03E+114	2.39E+114	2.67695E+115	4.78E+114
5	980	8.96E+113	8.96E+112	1.20E+116	3.58E+115	4.01542E+116	7.16E+115
5	990	1.34E+115	1.34E+114	1.81E+117	5.37E+116	6.02313E+117	1.07E+117
5	1000	2.02E+116	2.02E+115	2.71E+118	8.06E+117	9.03469E+118	1.61E+118
5	1010	3.02E+117	3.02E+116	4.07E+119	1.21E+119	1.3552E+120	2.42E+119
5	1020	4.53E+118	4.53E+117	6.10E+120	1.81E+120	2.03281E+121	3.63E+120
5	1030	6.80E+119	6.80E+118	9.15E+121	2.72E+121	3.04921E+122	5.44E+121
5	1040	1.02E+121	1.02E+120	1.37E+123	4.08E+122	4.57381E+123	8.16E+122
5	1050	1.53E+122	1.53E+121	2.06E+124	6.12E+123	6.86072E+124	1.22E+124
5	1060	2.30E+123	2.30E+122	3.09E+125	9.18E+124	1.02911E+126	1.84E+125
5	1070	3.44E+124	3.44E+123	4.63E+126	1.38E+126	1.54366E+127	2.75E+126
5	1080	5.16E+125	5.16E+124	6.95E+127	2.07E+127	2.31549E+128	4.13E+127
5	1090	7.75E+126	7.75E+125	1.04E+129	3.10E+128	3.47324E+129	6.20E+128
5	1100	1.16E+128	1.16E+127	1.56E+130	4.65E+129	5.20986E+130	9.30E+129
5	1110	1.74E+129	1.74E+128	2.34E+131	6.97E+130	7.81479E+131	1.39E+131
5	1120	2.61E+130	2.61E+129	3.52E+132	1.05E+132	1.17222E+133	2.09E+132
5	1130	3.92E+131	3.92E+130	5.27E+133	1.57E+133	1.75833E+134	3.14E+133
5	1140	5.88E+132	5.88E+131	7.91E+134	2.35E+134	2.63749E+135	4.71E+134
5	1150	8.82E+133	8.82E+132	1.19E+136	3.53E+135	3.95624E+136	7.06E+135
5	1160	1.32E+135	1.32E+134	1.78E+137	5.29E+136	5.93436E+137	1.06E+137
5	1170	1.99E+136	1.99E+135	2.67E+138	7.94E+137	8.90153E+138	1.59E+138
5	1180	2.98E+137	2.98E+136	4.01E+139	1.19E+139	1.33523E+140	2.38E+139
5	1190	4.47E+138	4.47E+137	6.01E+140	1.79E+140	2.00284E+141	3.57E+140
5	1200	6.70E+139	6.70E+138	9.01E+141	2.68E+141	3.00427E+142	5.36E+141
5	1210	1.01E+141	1.01E+140	1.35E+143	4.02E+142	4.5064E+143	8.04E+142
5	1220	1.51E+142	1.51E+141	2.03E+144	6.03E+143	6.7596E+144	1.21E+144
5	1230	2.26E+143	2.26E+142	3.04E+145	9.05E+144	1.01394E+146	1.81E+145
5	1240	3.39E+144	3.39E+143	4.56E+146	1.36E+146	1.52091E+147	2.71E+146
5	1250	5.09E+145	5.09E+144	6.84E+147	2.04E+147	2.28137E+148	4.07E+147
5	1260	7.63E+146	7.63E+145	1.03E+149	3.05E+148	3.42205E+149	6.11E+148
5	1270	1.14E+148	1.14E+147	1.54E+150	4.58E+149	5.13307E+150	9.16E+149
5	1280	1.72E+149	1.72E+148	2.31E+151	6.87E+150	7.69961E+151	1.37E+151
5	1290	2.58E+150	2.58E+149	3.46E+152	1.03E+152	1.15494E+153	2.06E+152
5	1300	3.86E+151	3.86E+150	5.20E+153	1.55E+153	1.73241E+154	3.09E+153
5	1310	5.80E+152	5.80E+151	7.80E+154	2.32E+154	2.59862E+155	4.64E+154
5	1320	8.69E+153	8.69E+152	1.17E+156	3.48E+155	3.89793E+156	6.95E+155
5	1330	1.30E+155	1.30E+154	1.75E+157	5.22E+156	5.84689E+157	1.04E+157
5	1340	1.96E+156	1.96E+155	2.63E+158	7.82E+157	8.77034E+158	1.56E+158
5	1350	2.93E+157	2.93E+156	3.95E+159	1.17E+159	1.31555E+160	2.35E+159
5	1360	4.40E+158	4.40E+157	5.92E+160	1.76E+160	1.97333E+161	3.52E+160
5	1370	6.60E+159	6.60E+158	8.88E+161	2.64E+161	2.95999E+162	5.28E+161
5	1380	9.90E+160	9.90E+159	1.33E+163	3.96E+162	4.43998E+163	7.92E+162
5	1390	1.49E+162	1.49E+161	2.00E+164	5.94E+163	6.65997E+164	1.19E+164
5	1400	2.23E+163	2.23E+162	3.00E+165	8.91E+164	9.98996E+165	1.78E+165
5	1410	3.34E+164	3.34E+163	4.50E+166	1.34E+166	1.49849E+167	2.67E+166
5	1420	5.01E+165	5.01E+164	6.74E+167	2.01E+167	2.24774E+168	4.01E+167
5	1430	7.52E+166	7.52E+165	1.01E+169	3.01E+168	3.37161E+169	6.02E+168
5	1440	1.13E+168	1.13E+167	1.52E+170	4.51E+169	5.05742E+170	9.02E+169
5	1450	1.69E+169	1.69E+168	2.28E+171	6.77E+170	7.58613E+171	1.35E+171
5	1460	2.54E+170	2.54E+169	3.41E+172	1.02E+172	1.13792E+173	2.03E+172
5	1470	3.81E+171	3.81E+170	5.12E+173	1.52E+173	1.70688E+174	3.05E+173
5	1480	5.71E+172	5.71E+171	7.68E+174	2.28E+174	2.56032E+175	4.57E+174
5	1490	8.57E+173	8.57E+172	1.15E+176	3.43E+175	3.84048E+176	6.85E+175
5	1500	1.28E+175	1.28E+174	1.73E+177	5.14E+176	5.76071E+177	1.03E+177
5	1510	1.93E+176	1.93E+175	2.59E+178	7.71E+177	8.64107E+178	1.54E+178
5	1520	2.89E+177	2.89E+176	3.89E+179	1.16E+179	1.29616E+180	2.31E+179
5	1530	4.34E+178	4.34E+177	5.83E+180	1.73E+180	1.94424E+181	3.47E+180
5	1540	6.50E+179	6.50E+178	8.75E+181	2.60E+181	2.91636E+182	5.20E+181
5	1550	9.76E+180	9.76E+179	1.31E+183	3.90E+182	4.37454E+183	7.81E+182
5	1560	1.46E+182	1.46E+181	1.97E+184	5.85E+183	6.56181E+184	1.17E+184
5	1570	2.20E+183	2.20E+182	2.95E+185	8.78E+184	9.84272E+185	1.76E+185
5	1580	3.29E+184	3.29E+183	4.43E+186	1.32E+186	1.47641E+187	2.63E+186
5	1590	4.94E+185	4.94E+184	6.64E+187	1.98E+187	2.21461E+188	3.95E+187
5	1600	7.41E+186	7.41E+185	9.97E+188	2.96E+188	3.32192E+189	5.93E+188
5	1610	1.11E+188	1.11E+187	1.49E+190	4.45E+189	4.98288E+190	8.89E+189
5	1620	1.67E+189	1.67E+188	2.24E+191	6.67E+190	7.47432E+191	1.33E+191
5	1630	2.50E+190	2.50E+189	3.36E+192	1.00E+192	1.12115E+193	2.00E+192
5	1640	3.75E+191	3.75E+190	5.05E+193	1.50E+193	1.68172E+194	3.00E+193
5	1650	5.63E+192	5.63E+191	7.57E+194	2.25E+194	2.52258E+195	4.50E+194
5	1660	8.44E+193	8.44E+192	1.14E+196	3.38E+195	3.78387E+196	6.75E+195
5	1670	1.27E+195	1.27E+194	1.70E+197	5.06E+196	5.67581E+197	1.01E+197
5	1680	1.90E+196	1.90E+195	2.55E+198	7.60E+197	8.51371E+198	1.52E+198
5	1690	2.85E+197	2.85E+196	3.83E+199	1.14E+199	1.27706E+200	2.28E+199
5	1700	4.27E+198	4.27E+197	5.75E+200	1.71E+200	1.91559E+201	3.42E+200
5	1710	6.41E+199	6.41E+198	8.62E+201	2.56E+201	2.87338E+202	5.13E+201
5	1720	9.61E+200	9.61E+199	1.29E+203	3.85E+202	4.31007E+203	7.69E+202
5	1730	1.44E+202	1.44E+201	1.94E+204	5.77E+203	6.4651E+204	1.15E+204
5	1740	2.16E+203	2.16E+202	2.91E+205	8.65E+204	9.69765E+205	1.73E+205
5	1750	3.24E+204	3.24E+203	4.36E+206	1.30E+206	1.45465E+207	2.60E+206
5	1760	4.87E+205	4.87E+204	6.55E+207	1.95E+207	2.18197E+208	3.89E+207
5	1770	7.30E+206	7.30E+205	9.82E+208	2.92E+208	3.27296E+209	5.84E+208
5	1780	1.09E+208	1.09E+207	1.47E+210	4.38E+209	4.90944E+210	8.76E+209
5	1790	1.64E+209	1.64E+208	2.21E+211	6.57E+210	7.36415E+211	1.31E+211
5	1800	2.46E+210	2.46E+209	3.31E+212	9.85E+211	1.10462E+213	1.97E+212
5	1810	3.70E+211	3.70E+210	4.97E+213	1.48E+213	1.65693E+214	2.96E+213
5	1820	5.54E+212	5.54E+211	7.46E+214	2.22E+214	2.4854E+215	4.43E+214
5	1830	8.31E+213	8.31E+212	1.12E+216	3.33E+215	3.7281E+216	6.65E+215
5	1840	1.25E+215	1.25E+214	1.68E+217	4.99E+216	5.59215E+217	9.98E+216
5	1850	1.87E+216	1.87E+215	2.52E+218	7.48E+217	8.38823E+218	1.50E+218
5	1860	2.81E+217	2.81E+216	3.77E+219	1.12E+219	1.25823E+220	2.25E+219
5	1870	4.21E+218	4.21E+217	5.66E+220	1.68E+220	1.88735E+221	3.37E+220
5	1880	6.31E+219	6.31E+218	8.49E+221	2.53E+221	2.83103E+222	5.05E+221
5	1890	9.47E+220	9.47E+219	1.27E+223	3.79E+222	4.24654E+223	7.58E+222
5	1900	1.42E+222	1.42E+221	1.91E+224	5.68E+223	6.36981E+224	1.14E+224
5	1910	2.13E+223	2.13E+222	2.87E+225	8.52E+224	9.55472E+225	1.70E+225
5	1920	3.20E+224	3.20E+223	4.30E+226	1.28E+226	1.43321E+227	2.56E+226
5	1930	4.79E+225	4.79E+224	6.45E+227	1.92E+227	2.14981E+228	3.84E+227
5	1940	7.19E+226	7.19E+225	9.67E+228	2.88E+228	3.22472E+229	5.75E+228
5	1950	1.08E+228	1.08E+227	1.45E+230	4.32E+229	4.83708E+230	8.63E+229
5	1960	1.62E+229	1.62E+228	2.18E+231	6.47E+230	7.25562E+231	1.29E+231
5	1970	2.43E+230	2.43E+229	3.27E+232	9.71E+231	1.08834E+233	1.94E+232
5	1980	3.64E+231	3.64E+230	4.90E+233	1.46E+233	1.63251E+234	2.91E+233
5	1990	5.46E+232	5.46E+231	7.35E+234	2.18E+234	2.44877E+235	4.37E+234
5	2000	8.19E+233	8.19E+232	1.10E+236	3.28E+235	3.67316E+236	6.55E+235
